,Unnamed: 0,date,prcp,tmax,tmin,vp,srad,runoff
0,0,1980-01-01,7.719036215738087,2.63516275808402,-7.40450051504837,356.9095754209961,108.6658455750627,0.4296
1,1,1980-01-02,3.6607811660247225,2.4841382946860446,-7.616932774991042,350.1184835184522,123.68987370118238,0.456
2,2,1980-01-03,4.320508792211573,0.0169258295357846,-5.137492022348621,418.4229666786098,74.29347680042996,0.472
3,3,1980-01-04,13.075692516123253,-1.1307202034720978,-15.443935305446075,194.2769392690792,143.8814493013257,0.4192
4,4,1980-01-05,15.73911820360086,0.71512008114811,-10.464246125940525,281.0745700465783,125.16637182013616,0.4752
5,5,1980-01-06,5.503464679998208,-8.026510295369043,-18.85239945360086,143.366210587603,140.18381628448586,0.4264
6,6,1980-01-07,4.92720882972053,-8.98606990102114,-18.329945863937656,150.08896900752418,122.25613579362236,0.4056
7,7,1980-01-08,12.54793868685059,-12.195743573092082,-15.829706534396276,182.0986541562164,52.56099964170548,0.3824
8,8,1980-01-09,10.92245442941598,-6.284188434924758,-16.4882196681297,174.1084064851308,125.6499126657112,0.3544
9,9,1980-01-10,9.32051544025439,-6.975803923324973,-12.176418062522393,242.5828556073092,71.59241759226084,0.336
10,10,1980-01-11,10.648792995342172,-3.412973970463096,-20.915753202257257,121.43734324614832,177.3666024722322,0.328
11,11,1980-01-12,23.88171802221426,3.535922524408814,-15.267317101845215,195.4294159799355,181.89978950197064,0.4208
12,12,1980-01-13,13.774280051952704,2.6437191390854533,-4.890268454966858,436.341723396632,101.47490818702974,0.856
13,13,1980-01-14,12.846624753672518,6.218458885704049,-2.748201179572734,500.3763883912576,117.48433581153708,1.064
14,14,1980-01-15,2.7710428049982085,2.1814331360847365,-6.2994663371103545,384.7662128269437,142.53645646721606,1.248
15,15,1980-01-16,2.936534984100681,2.0280365460408456,-11.20434684029022,266.0283500537442,194.0271855965604,1.0
16,16,1980-01-17,2.4567359369401647,-0.3292654892399677,-10.711734565343964,281.0944553923325,160.66610309924758,0.864
17,17,1980-01-18,0.0,-3.7983445673593694,-12.07739581467216,254.54230114654248,156.22256807595843,0.7512
18,18,1980-01-19,0.0,-2.746728638088946,-21.02492666159083,123.6447733787173,258.9844589752777,0.5768
19,19,1980-01-20,0.0,-2.067635088230025,-23.12293420816912,102.92888973486204,275.4151737728413,0.5208
20,20,1980-01-21,0.0,1.660576826182372,-20.598155902902185,126.94177714080976,281.213722680043,0.624
21,21,1980-01-22,0.0021497671085632,-2.6866892886734144,-18.33756941956288,150.7502127373701,252.80240057327123,0.5664
22,22,1980-01-23,0.0,3.121720065612684,-16.372150438910786,181.1735713006091,277.80356503045505,0.5568
23,23,1980-01-24,0.1287567127737594,4.773371369468828,-9.31355109055894,306.12121551415265,238.932147975636,0.552
24,24,1980-01-25,0.2420673541209468,-4.44704064123522,-8.989286853950198,312.8807327122895,100.20027543891078,0.5288
25,25,1980-01-26,0.0,-13.954994849516302,-25.832491714439268,81.55973441418847,229.79993729845933,0.3624
26,26,1980-01-27,0.0,-16.554385189000357,-29.413527857398783,58.52974964170548,245.8848978860624,0.3024
27,27,1980-01-28,0.0,-9.672020557147976,-33.965150259763526,37.50413158366177,313.5682551056969,0.268
28,28,1980-01-29,0.0,-9.448248135748836,-33.71054281619491,38.35909508240774,317.29270422787533,0.272
29,29,1980-01-30,0.0,-6.477437942269796,-32.442367766929415,43.27833885704049,324.0327839484056,0.304
30,30,1980-01-31,1.1423683617542997,-3.150971104106951,-29.790742005553565,55.2335576406306,297.3769258330348,0.384
31,31,1980-02-01,4.318943003179864,1.5093550208818525,-21.246229510032247,118.73226442135436,265.2603681476173,0.528
32,32,1980-02-02,10.083209703063416,4.23891456355249,-4.635209644280724,433.9992834109638,140.670066732354,0.676
33,33,1980-02-03,15.352123734772483,2.9206416131091006,-0.445245407252105,591.6786993908993,64.39192941597993,0.816
34,34,1980-02-04,5.66579029133823,4.222386129523469,-2.426370476531709,511.6694733070584,125.70989340738086,0.928
35,35,1980-02-05,0.0,1.2781834153025349,-13.119316273289144,232.13494267287712,280.5616714439269,0.772
36,36,1980-02-06,5.08804038091186,1.5125975162912038,-11.179621019571838,271.4656485130777,210.6341589036188,0.6944
37,37,1980-02-07,1.4792834739452705,2.2957757986048906,-4.940336964797564,426.0107488355428,158.74095306341812,0.6304
38,38,1980-02-08,0.0,4.849043591566643,-3.94359380598352,458.9498387674669,198.68931386599783,0.5752
39,39,1980-02-09,0.0,5.875614419115013,-13.516982600322464,225.96929863848084,331.6253135077033,0.5248
40,40,1980-02-10,0.0,4.524170884091723,-13.82835173324973,222.685910068076,327.6308446793264,0.5128
41,41,1980-02-11,0.0,-1.545936926168936,-13.668566374059475,222.98542189179503,266.85997402364745,0.4984
42,42,1980-02-12,7.4116013245700465,-1.5615944665890362,-11.202870274991042,271.94106055177355,171.4266056073092,0.4904
43,43,1980-02-13,8.54306392198137,-4.440533606906127,-8.937222881583661,314.3575331422429,91.47699077391616,0.48
44,44,1980-02-14,3.118781980584916,-11.847258767018989,-19.03350473620566,146.23457094231458,157.78894213543532,0.4552
45,45,1980-02-15,0.0,-5.11705838801057,-17.78890014779649,159.44291920458616,296.669921175206,0.4368
46,46,1980-02-16,0.0,3.444303047182909,-17.708924892511643,161.6047227696166,379.5423683267646,0.4336
47,47,1980-02-17,3.407889967193658,3.7917986944643496,-13.25272639734862,228.6412800071659,301.04924310283053,0.4648
48,48,1980-02-18,11.38247939806521,8.307280936492297,-2.6938014698472768,501.6915979935507,198.8994088140452,0.5464
49,49,1980-02-19,9.605263710363667,9.457165610444283,-1.5591864755016125,546.0596560372626,203.2476710856324,0.7816
50,50,1980-02-20,7.514757955257972,7.041024722321748,-2.418584918599964,513.8662217843067,187.2977651379434,1.008
51,51,1980-02-21,4.810981447061985,3.5844857773871373,-4.895467574346113,427.5993371551416,176.87309656037263,1.08
52,52,1980-02-22,1.009634588577123,6.001107074077392,-4.666571261420637,434.2830526692941,269.88570404872803,0.992
53,53,1980-02-23,0.0,5.154904995969186,-5.911788169562881,400.2042278753135,301.51258509494807,0.912
